County,State,Date,Year,Month,Period Begin,Period End,Homes Sold,Homes Sold with Price Drop,Homes Sold with Price Drop (%),Median Sale Price,Median Sales Price per Sqft,Price Drops,Listings with Price Drop (%),New Listings,Median New List Price,Median New Listing Price per Sqft,Inventory,Active Listings,Age of Inventory,Median List Price,Median List Price per Sqft,Average Offer to List,Average Sale to List Ratio,Median Days on Market,Months of Supply,Price Drops of Inventory (%),Homes Sold Above List (%)
Mecklenburg County, NC,2017-01-01,2017,January,2017-01-09 00:00:00,2017-01-15,265,75,28.30%,249000.0,117.62,99,2.02%,378,259450.0,$123.04,4594,4899,76.0,"$289,877.50",$124.89,0.88,0.98,82.0,18.49,2.15%,23.02%
Mecklenburg County, NC,2017-01-01,2017,January,2017-01-16 00:00:00,2017-01-22,267,74,27.72%,200000.0,110.88,120,2.40%,450,254950.0,$116.83,4699,5008,74.0,"$285,910.00",$124.02,0.99,0.98,67.0,18.76,2.55%,18.35%
Mecklenburg County, NC,2017-01-01,2017,January,2017-01-30 00:00:00,2017-02-05,306,81,26.47%,209950.0,107.55,118,2.24%,498,249950.0,$124.01,4922,5261,65.0,"$289,383.00",$124.83,0.86,0.98,78.5,17.19,2.40%,23.86%
Mecklenburg County, NC,2017-02-01,2017,February,2017-02-06 00:00:00,2017-02-12,243,50,20.58%,195500.0,115.12,136,2.50%,535,243990.0,$120.36,5174,5444,59.0,"$287,445.50",$125.16,0.97,0.97,78.0,22.40,2.63%,25.51%
Mecklenburg County, NC,2017-02-01,2017,February,2017-02-20 00:00:00,2017-02-26,314,79,25.16%,228700.0,115.22,140,2.42%,450,239700.0,$122.14,5442,5776,44.0,"$289,000.00",$125.79,0.99,0.99,73.0,18.39,2.57%,26.75%
Mecklenburg County, NC,2017-02-01,2017,February,2017-02-27 00:00:00,2017-03-05,436,99,22.71%,229750.0,118.45,166,2.76%,578,265000.0,$124.19,5525,6008,44.0,"$289,500.00",$126.18,0.99,0.99,56.0,13.78,3.00%,25.00%
Mecklenburg County, NC,2017-03-01,2017,March,2017-03-13 00:00:00,2017-03-19,393,82,20.87%,242250.0,121.12,152,2.45%,561,269900.0,$126.08,5793,6214,41.0,"$291,810.00",$126.68,1.00,0.99,55.0,15.81,2.62%,30.53%
Mecklenburg County, NC,2017-03-01,2017,March,2017-03-20 00:00:00,2017-03-26,371,63,16.98%,230000.0,120.44,154,2.44%,524,250000.0,$124.61,5911,6306,43.0,"$293,000.00",$126.95,0.97,0.99,51.0,17.00,2.61%,31.54%
Mecklenburg County, NC,2017-03-01,2017,March,2017-03-27 00:00:00,2017-04-02,622,137,22.03%,252500.0,118.69,149,2.30%,585,267000.0,$129.95,5837,6487,40.0,"$295,000.00",$127.56,1.00,0.99,58.0,10.43,2.55%,25.24%
Mecklenburg County, NC,2017-04-01,2017,April,2017-04-03 00:00:00,2017-04-09,342,60,17.54%,235000.0,122.70,163,2.50%,686,265000.0,$121.90,6157,6515,39.0,"$295,500.00",$127.58,0.96,0.99,49.0,19.05,2.65%,28.36%
Mecklenburg County, NC,2017-04-01,2017,April,2017-04-10 00:00:00,2017-04-16,370,64,17.30%,247500.0,120.62,141,2.12%,508,239900.0,$119.78,6259,6651,40.0,"$294,744.00",$127.24,0.99,0.99,56.0,17.98,2.25%,27.84%
Mecklenburg County, NC,2017-04-01,2017,April,2017-04-17 00:00:00,2017-04-23,435,83,19.08%,245000.0,124.60,197,2.86%,651,269000.0,$126.26,6426,6897,40.0,"$294,900.00",$127.52,0.98,0.99,57.0,15.86,3.07%,34.48%
Mecklenburg County, NC,2017-04-01,2017,April,2017-04-24 00:00:00,2017-04-30,630,106,16.83%,239950.0,120.60,222,3.23%,471,265000.0,$125.40,6231,6880,41.0,"$297,000.00",$127.51,0.99,1.00,53.0,10.92,3.56%,36.19%
Mecklenburg County, NC,2017-05-01,2017,May,2017-05-01 00:00:00,2017-05-07,417,75,17.99%,238003.0,118.06,207,3.03%,606,264950.0,$125.70,6367,6821,41.0,"$299,900.00",$128.30,0.93,0.99,53.0,16.36,3.25%,31.41%
Mecklenburg County, NC,2017-05-01,2017,May,2017-05-08 00:00:00,2017-05-14,397,58,14.61%,238000.0,122.50,219,3.15%,597,278650.0,$130.67,6510,6946,42.0,"$299,900.00",$129.26,0.99,0.99,50.0,17.50,3.36%,31.99%
Mecklenburg County, NC,2017-05-01,2017,May,2017-05-29 00:00:00,2017-06-04,524,92,17.56%,235000.0,117.23,240,3.37%,526,265000.0,$125.67,6577,7131,45.0,"$299,900.00",$129.02,0.98,0.99,56.0,13.61,3.65%,33.02%
Mecklenburg County, NC,2017-06-01,2017,June,2017-06-05 00:00:00,2017-06-11,454,91,20.04%,248500.0,122.65,231,3.27%,503,272404.0,$122.31,6582,7069,45.0,"$299,925.00",$129.39,1.00,0.99,55.0,15.57,3.51%,29.52%
Mecklenburg County, NC,2017-06-01,2017,June,2017-06-12 00:00:00,2017-06-18,547,117,21.39%,257485.0,122.35,225,3.20%,446,257130.0,$122.66,6446,7022,46.0,"$299,994.00",$129.19,0.88,0.99,61.0,12.84,3.49%,32.36%
Mecklenburg County, NC,2017-06-01,2017,June,2017-06-26 00:00:00,2017-07-02,725,153,21.10%,260000.0,123.78,201,2.90%,491,247000.0,$122.91,6156,6936,47.0,"$299,900.00",$129.01,0.99,0.99,60.0,9.57,3.27%,29.10%
Mecklenburg County, NC,2017-07-01,2017,July,2017-07-03 00:00:00,2017-07-09,297,55,18.52%,225000.0,113.91,173,2.63%,433,255000.0,$123.34,6245,6576,51.0,"$299,900.00",$128.89,0.97,0.99,51.0,22.14,2.77%,33.67%
Mecklenburg County, NC,2017-07-01,2017,July,2017-07-10 00:00:00,2017-07-16,487,111,22.79%,250000.0,124.93,257,3.78%,574,249900.0,$124.36,6271,6803,51.0,"$299,900.00",$129.29,0.94,0.99,56.0,13.97,4.10%,27.93%
Mecklenburg County, NC,2017-07-01,2017,July,2017-07-17 00:00:00,2017-07-23,469,114,24.31%,240000.0,120.51,241,3.55%,543,231000.0,$120.17,6296,6796,50.0,"$298,500.00",$128.59,0.96,0.99,56.5,14.49,3.83%,33.05%
Mecklenburg County, NC,2017-07-01,2017,July,2017-07-24 00:00:00,2017-07-30,524,137,26.15%,257000.0,120.38,264,3.88%,514,249500.0,$126.33,6244,6800,49.0,"$298,250.00",$128.77,0.98,0.99,56.0,12.98,4.23%,25.95%
Mecklenburg County, NC,2017-07-01,2017,July,2017-07-31 00:00:00,2017-08-06,472,113,23.94%,235000.0,115.73,256,3.80%,507,250000.0,$120.64,6196,6733,47.0,"$297,700.00",$128.77,0.99,0.99,53.5,14.26,4.13%,29.87%
Mecklenburg County, NC,2017-08-01,2017,August,2017-08-07 00:00:00,2017-08-13,392,87,22.19%,225500.0,119.08,199,3.00%,448,223950.0,$116.99,6193,6636,48.0,"$295,500.00",$128.70,0.97,0.99,49.0,16.93,3.21%,32.65%
Mecklenburg County, NC,2017-08-01,2017,August,2017-08-14 00:00:00,2017-08-20,405,82,20.25%,237900.0,118.42,237,3.56%,473,255000.0,$126.60,6212,6653,50.0,"$295,700.00",$128.87,0.96,0.99,53.5,16.43,3.82%,29.38%
Mecklenburg County, NC,2017-08-01,2017,August,2017-08-21 00:00:00,2017-08-27,422,102,24.17%,233250.0,120.04,220,3.30%,456,246950.0,$122.48,6193,6662,50.0,"$297,500.00",$128.99,1.00,0.99,54.0,15.79,3.55%,27.49%
