Year/Month,Date,Year,Month,Zip Code,City,State,Median Listing Price,Household Count Rank,Hotness Rank,Hotness Score,Supply Score,Demand Score,Median Days on Market (DOM),Median DOM vs. US,Viewers per Property vs. US,Median List Price vs. US
202104,2021-04-01,2021,April,28269,charlotte, nc,"$305,000.00",45,209,92.97,89.16,96.79,13.0,-30.0,3.76,0.81
202104,2021-04-01,2021,April,28213,charlotte, nc,"$280,117.50",1585,248,92.38,91.24,93.52,11.0,-32.0,2.84,0.75
202104,2021-04-01,2021,April,28215,charlotte, nc,"$330,450.00",492,302,91.64,89.55,93.73,12.5,-30.5,2.89,0.88
202104,2021-04-01,2021,April,28262,charlotte, nc,"$370,700.00",1328,306,91.59,89.55,93.62,12.5,-30.5,2.87,0.99
202104,2021-04-01,2021,April,28214,charlotte, nc,"$290,000.00",2030,394,90.41,84.90,95.92,17.0,-26.0,3.42,0.77
202104,2021-04-01,2021,April,28270,charlotte, nc,"$734,950.00",2561,408,90.22,90.62,89.83,11.5,-31.5,2.37,1.96
202104,2021-04-01,2021,April,28273,charlotte, nc,"$324,950.00",1971,415,90.16,87.50,92.82,14.5,-28.5,2.73,0.87
202104,2021-04-01,2021,April,28212,charlotte, nc,"$255,500.00",1702,489,89.30,85.37,93.24,16.5,-26.5,2.80,0.68
202104,2021-04-01,2021,April,28216,charlotte, nc,"$284,950.00",589,865,85.54,81.60,89.49,19.5,-23.5,2.33,0.76
202104,2021-04-01,2021,April,28227,charlotte, nc,"$352,470.00",482,1574,80.19,72.54,87.83,26.0,-17.0,2.20,0.94
202104,2021-04-01,2021,April,28277,charlotte, nc,"$496,147.00",86,2059,77.38,77.57,77.18,22.5,-20.5,1.64,1.32
202104,2021-04-01,2021,April,28278,charlotte, nc,"$597,901.50",5032,2399,75.64,69.71,81.56,28.0,-15.0,1.83,1.59
202104,2021-04-01,2021,April,28210,charlotte, nc,"$447,000.00",464,3667,68.84,69.71,67.97,28.0,-15.0,1.36,1.19
202104,2021-04-01,2021,April,28209,charlotte, nc,"$734,000.00",3826,4606,64.44,74.16,54.72,25.0,-18.0,1.07,1.96
202104,2021-04-01,2021,April,28208,charlotte, nc,"$402,450.00",2204,4911,63.16,61.50,64.81,34.0,-9.0,1.28,1.07
202104,2021-04-01,2021,April,28226,charlotte, nc,"$630,517.50",1124,5773,59.34,55.66,63.03,38.5,-4.5,1.23,1.68
202104,2021-04-01,2021,April,28217,charlotte, nc,"$360,117.50",4081,6454,56.38,57.59,55.17,37.0,-6.0,1.08,0.96
202104,2021-04-01,2021,April,28204,charlotte, nc,"$630,311.50",10785,7849,50.48,66.78,34.17,30.0,-13.0,0.72,1.68
202104,2021-04-01,2021,April,28211,charlotte, nc,"$1,024,500.00",2613,8103,49.39,55.23,43.54,39.0,-4.0,0.87,2.73
202104,2021-04-01,2021,April,28203,charlotte, nc,"$532,000.00",6166,8571,47.32,53.99,40.64,40.0,-3.0,0.82,1.42
202104,2021-04-01,2021,April,28205,charlotte, nc,"$463,140.00",630,8590,47.21,55.23,39.20,39.0,-4.0,0.80,1.24
202104,2021-04-01,2021,April,28206,charlotte, nc,"$212,500.00",8412,9578,42.89,30.75,55.04,76.5,33.5,1.08,0.57
202104,2021-04-01,2021,April,28202,charlotte, nc,"$409,950.00",7277,11891,30.51,46.71,14.31,48.0,5.0,0.41,1.09
202104,2021-04-01,2021,April,28207,charlotte, nc,"$1,299,250.00",9623,12107,29.14,26.10,32.18,90.5,47.5,0.69,3.46
