month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202104,28213,"charlotte, nc",*,280117.5,0.0465,,16,0.2308,-0.6444,11,-0.043478261,-0.56,36,0.5,0,0,,,0,,-1,28,-0.0667,0.037,138.051081,-0.0603,0.1823,2109,0.1509,0.2907,285710.0194,0.1141,0.3077,44,0.0233,-0.3889,1.75,-0.5577,1.15
202104,28262,"charlotte, nc",,370700,0.0198,0.3661,13,0.1818,-0.7234,12.5,-0.418604651,-0.444444444,12,-0.25,-0.5,0,,,0,,-1,26,-0.1333,-0.0714,162.7545032,0.0128,0.2792,2262,0,0.0312,337630.0513,-0.0206,0.2327,39,-0.0488,-0.48,2,-0.7273,1.4043
202104,28207,"charlotte, nc",,1299250,2.00E-04,-0.0534,52,-0.037,0.0833,90.5,-0.309160305,0.436507937,20,0,1.5,0,,,12,0,2,45,0.1538,0.8,447.0092901,0.1193,0.2143,2740.5,0.0228,-0.1548,1530404.684,0.0858,0.0639,97,0.043,0.3288,0.865384615,0.1432,0.3446
202104,28202,"charlotte, nc",,409950,0.025,0.1715,85,0.0625,0.25,48,-0.010309278,-0.04950495,28,-0.3,2.5,0,,,20,0,0.6667,41,0,0.64,343.0400233,-0.0223,0.0077,1221.5,0.023,0.08,559791.0851,-0.0316,0.1577,126,0.0413,0.3548,0.482352941,-0.0301,0.1147
202104,28226,"charlotte, nc",*,630517.5,-0.1593,0.111,52,0.04,,38.5,-0.287037037,-0.3125,48,0.2,0.2,4,,0,16,1,-0.3333,78,0.1143,0.1642,231.5635875,-0.0281,0.1682,2870,-0.0107,-0.0154,949039.6261,-0.0891,0.1945,130,0.0833,-0.3367,1.5,0.1,0.9806
202104,28208,"charlotte, nc",*,402450,0.0105,,38,-0.24,,34,-0.028571429,,28,-0.3,-0.3636,0,-1,,16,0.3333,1,116,0.0642,0.8413,252.7898117,0.0353,0.372,1630,0.0731,0.2201,399790.5875,0.0315,0.4109,154,-0.0314,0.0476,3.052631579,0.8726,2.3026
202104,28278,"charlotte, nc",*,597901.5,-0.0101,,45,0,-0.6642,28,-0.404255319,-0.434343434,36,-0.25,-0.3077,4,-0.75,,12,2,-0.7692,50,-0.3056,-0.1935,192.4130461,-0.0096,0.3633,3292.5,-0.075,0.1929,933585.4591,0.0179,0.8604,95,-0.188,-0.5153,1.111111111,-0.4889,0.6484
202104,28203,"charlotte, nc",,532000,0.1387,-0.1314,51,0.2439,0.2143,40,0.15942029,-0.436619718,24,0,1,0,-1,,24,0.5,5,60,-0.1176,0.5385,352.9922401,0.0028,0.1084,1468.5,0.079,-0.2654,741035.4696,-0.0733,0.0164,111,0.0183,0.3704,1.176470588,-0.4821,0.2479
202104,28227,"charlotte, nc",*,352470,-0.1144,,31,0.1481,,26,-0.103448276,,56,0.75,0.4,4,0,0,0,-1,-1,44,-0.0222,-0.0638,183.8968454,-0.0351,0.2947,1875,-0.0424,-0.1525,385260.0103,-0.1158,0.0831,75,0.0417,-0.4863,1.419354839,-0.2473,0.9446
202104,28277,"charlotte, nc",,496147,-0.0126,0.1039,49,0.225,-0.5739,22.5,-0.1,-0.328358209,68,0.4167,0.3077,0,-1,,8,1,-0.6,77,0.0694,-0.1895,195.0126746,-0.0246,0.2192,2618.5,-0.0854,0.0098,615104.8734,-0.0941,0.1743,126,0.125,-0.4,1.571428571,-0.2286,0.7453
202104,28211,"charlotte, nc",,1024500,-0.1089,0.2814,77,0.0132,-0.3889,39,0.147058824,-0.365853659,36,-0.3077,0,0,-1,-1,32,0.3333,0.3333,81,0.2462,0.2857,323.5006731,-0.0192,0.2341,3251,-0.0593,0.0668,1312736.888,-0.06,0.2801,158,0.1206,-0.164,1.051948052,0.1967,0.5519
202104,28217,"charlotte, nc",,360117.5,-0.0285,0.5005,13,-0.0714,0.0833,37,0.897435897,0.396226415,20,1.5,4,4,-0.6667,,0,,,15,0.6667,0.5,183.4620991,-0.018,0.1458,1772.5,-0.1151,0.374,354780.4838,-0.0459,0.035,28,0.2174,0.2727,1.153846154,0.511,0.3205
202104,28269,"charlotte, nc",*,305000,0.0313,0.1402,28,0.2727,-0.7705,13,-0.103448276,,56,0.2727,0.0769,4,,-0.8,0,-1,-1,54,-0.0182,-0.3415,144.0746753,-0.0996,0.1306,2106.5,0.1461,0.0301,308460.9253,0.0154,0.1359,82,0.0649,-0.598,1.928571429,-0.5714,1.2564
202104,28215,"charlotte, nc",*,330450,-0.064,,22,-0.2414,,12.5,-0.561403509,,40,0,-0.2308,4,0,-0.8333,8,0,-0.6667,230,-0.0763,1.3958,172.6874486,-0.0344,0.2335,1754,-0.0277,-0.0534,329077.1023,-0.0384,0.1589,252,-0.0935,0.2857,10.45454545,1.8683,9.4945
202104,28270,"charlotte, nc",*,734950,0.0208,,26,0.3684,-0.6119,11.5,-0.43902439,,36,0.2857,0.2857,0,,-1,4,,-0.8,36,-0.1,-0.2941,199.2058133,-0.0803,0.1988,3166.5,0.0309,0.0372,792334.2262,0.1534,0.1991,62,0.0508,-0.4746,1.384615385,-0.7206,0.6234
202104,28205,"charlotte, nc",*,463140,-0.004,0.0825,64,-0.0588,,39,-0.012658228,-0.178947368,60,0,0.0714,8,,,12,-0.5,-0.7,107,0.3049,-0.0776,274.1935484,-0.0041,0.1122,1768.5,-0.0045,0.0306,504962.6071,0.0058,0.0722,171,0.14,-0.3936,1.671875,0.466,0.9731
202104,28204,"charlotte, nc",,630311.5,0.1504,0.2443,24,-0.2941,0.1429,30,0.304347826,-0.154929577,24,-0.1429,1,0,-1,,4,-0.5,0,37,0.1563,0.85,289.5934899,0.0174,0.1154,2023,0.0912,0.06,627277.9767,0.144,0.1532,61,-0.0758,0.4878,1.541666667,0.6005,0.5893
202104,28216,"charlotte, nc",*,284950,0.0702,0.1398,23,0,,19.5,-0.093023256,,40,0.25,0,0,,,4,-0.5,-0.6667,67,-0.0563,0.2642,173.3606529,-0.0509,0.2184,1596,0.032,-0.1204,365958.0135,0.007,0.1544,90,-0.0426,-0.2683,2.913043478,-0.1739,2.1559
202104,28209,"charlotte, nc",,734000,0.0096,0.2677,49,-0.1404,-0.4674,25,-0.411764706,-0.450549451,36,-0.1,0.5,0,,,20,0,0.6667,64,-0.1795,0.3061,300.1620498,0.0185,0.0506,2604,0.0785,0.2067,842187.2026,-0.0036,0.1583,113,-0.163,-0.1986,1.306122449,-0.0623,0.7735
202104,28214,"charlotte, nc",*,290000,-0.0866,,16,-0.1579,,17,-0.46031746,,20,-0.2857,-0.5833,4,,-0.5,4,,-0.8333,37,-0.2449,-0.4032,153.7457405,-0.0482,0.171,1789,0.0856,-0.1547,343822.6395,-0.0459,0.0762,53,-0.2206,-0.6624,2.3125,-0.2664,1.6599
202104,28210,"charlotte, nc",*,447000,0.016,,40,-0.1489,,28,0.4,,52,-0.2778,0.4444,0,,,8,-0.3333,-0.6,95,0.0674,0.2338,239.4387921,0.0138,0.0848,1926.5,-0.0526,-0.1396,706039.3992,0.0132,-0.023,135,-0.0074,-0.2663,2.375,0.4814,1.6554
202103,28205,"charlotte, nc",,465000,0.0199,0.064,68,-0.1169,-0.5723,39.5,0.025974026,-0.177083333,60,0.5,-0.3478,0,-1,-1,24,0,-0.6,82,-0.1458,-0.4459,275.3168203,-0.0076,0.1196,1776.5,-0.0136,0.0287,502067.6382,-0.0407,0.0688,150,-0.1329,-0.5114,1.205882353,-0.0409,0.2751
202103,28226,"charlotte, nc",,750000,-0.1122,0.2346,50,-0.1525,-0.6,54,-0.28,0.058823529,40,0,-0.3333,0,-1,-1,8,-0.5,-0.7778,70,-0.0411,-0.2222,238.2637028,-0.0301,0.1775,2901,-0.0332,-0.0484,1041832.2,0.0057,0.2558,120,-0.0909,-0.4419,1.4,0.1627,0.68
