month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us
202104,28269,"charlotte, nc",45,209,432,232,92.974355,89.1593008,96.78940901,13,-0.103448276,-1.5,-0.611940299,-20.5,-30,0.888268156,2.448979592,3.7556,305000,0.031276416,0.140186916,0.8133
202104,28213,"charlotte, nc",1585,248,313,-206,92.375837,91.23627571,93.51539895,11,-0.043478261,-0.5,-0.56,-14,-32,0.497076023,0.347368421,2.8444,280117.5,0.046503157,0.4365,0.747
202104,28215,"charlotte, nc",492,302,1622,640,91.642554,89.55170637,93.73340204,12.5,-0.561403509,-16,-0.671052632,-25.5,-30.5,0.733333333,2.095238095,2.8889,330450,-0.064020224,0.291324736,0.8812
202104,28262,"charlotte, nc",1328,306,552,-157,91.587063,89.55170637,93.62241865,12.5,-0.418604651,-9,-0.444444444,-10,-30.5,0.264705882,1.504854369,2.8667,370700,0.019807428,0.366056787,0.9885
202104,28214,"charlotte, nc",2030,394,938,96,90.407864,84.89833129,95.91739665,17,-0.46031746,-14.5,-0.521126761,-18.5,-26,0.288702929,2.019607843,3.4222,290000,-0.086614173,0.050743673,0.7733
202104,28270,"charlotte, nc",2561,408,1076,264,90.22157,90.61793967,89.82520116,11.5,-0.43902439,-9,-0.705128205,-27.5,-31.5,0.48951049,1.067961165,2.3667,734950,0.020763889,0.4699,1.9599
202104,28273,"charlotte, nc",1971,415,549,-239,90.160133,87.50247731,92.81778905,14.5,0.035714286,0.5,-0.508474576,-15,-28.5,0.673469388,1.05,2.7333,324950,0.048225806,0.192698096,0.8665
202104,28212,"charlotte, nc",1702,489,-250,-395,89.301994,85.36604701,93.23794047,16.5,0.32,4,-0.4,-11,-26.5,-0.115789474,0.81294964,2.8,255500,0.10845987,0.073529412,0.6813
202104,28216,"charlotte, nc",589,865,480,-224,85.544413,81.59657537,89.49225098,19.5,-0.093023256,-2,-0.5125,-20.5,-23.5,0.35483871,0.85840708,2.3333,284950,0.070234742,0.139822796,0.7599
202104,28227,"charlotte, nc",482,1574,144,-752,80.185501,72.54350153,87.8275001,26,-0.103448276,-3,-0.333333333,-13,-17,0.207317073,1.129032258,2.2,352470,-0.114396985,-0.011304348,0.9399
202104,28277,"charlotte, nc",86,2059,197,-1230,77.375243,77.56946371,77.18102184,22.5,-0.1,-2.5,-0.328358209,-11,-20.5,0.184,0.897435897,1.6444,496147,-0.012569097,0.103898098,1.3231
202104,28278,"charlotte, nc",5032,2399,1990,7,75.637164,69.71342503,81.56090214,28,-0.404255319,-19,-0.434343434,-21.5,-15,0.386554622,1.260273973,1.8333,597901.5,-0.01005588,0.571563937,1.5944
202104,28210,"charlotte, nc",464,3667,-1498,-676,68.843395,69.71342503,67.97336399,28,0.4,8,-0.466666667,-24.5,-15,0.060869565,0.820895522,1.3556,447000,0.016024548,-0.033512469,1.192
202104,28209,"charlotte, nc",3826,4606,3169,-1822,64.443696,74.16465179,54.7227397,25,-0.411764706,-17.5,-0.450549451,-20.5,-18,0.5,0.627118644,1.0667,734000,0.009628611,0.267702936,1.9573
202104,28208,"charlotte, nc",2204,4911,1004,-4332,63.155496,61.49669032,64.814301,34,-0.028571429,-1,0.152542373,4.5,-9,0.533333333,0.4375,1.2778,402450,0.010546139,0.694883133,1.0732
202104,28226,"charlotte, nc",1124,5773,18,-2986,59.344405,55.65817115,63.03063934,38.5,-0.287037037,-15.5,-0.3125,-17.5,-4.5,0.077669903,0.423076923,1.2333,630517.5,-0.15931,0.111044053,1.6814
202104,28217,"charlotte, nc",4081,6454,-2332,-6383,56.381545,57.58848944,55.17460066,37,0.897435897,17.5,0.396226415,10.5,-6,0.243589744,-0.361842105,1.0778,360117.5,-0.028468719,0.500489583,0.9603
202104,28204,"charlotte, nc",10785,7849,-2678,-7431,50.475643,66.78029252,34.1709937,30,0.304347826,7,-0.154929577,-5.5,-13,-0.057971014,-0.409090909,0.7222,630311.5,0.1503924,0.244303954,1.6808
202104,28211,"charlotte, nc",2613,8103,-2690,-3391,49.385628,55.23009235,43.54116295,39,0.147058824,5,-0.365853659,-22.5,-4,-0.025,0.368421053,0.8667,1024500,-0.108936725,0.281425891,2.732
202104,28203,"charlotte, nc",6166,8571,-1879,-3795,47.31658,53.98945658,40.64370367,40,0.15942029,5.5,-0.436619718,-31,-3,0.121212121,0.088235294,0.8222,532000,0.13869863,-0.131428571,1.4187
202104,28205,"charlotte, nc",630,8590,-1142,-3662,47.213524,55.23009235,39.19695588,39,-0.012658228,-0.5,-0.178947368,-8.5,-4,0.125,0.714285714,0.8,463140,-0.004,0.08252013,1.235
202104,28206,"charlotte, nc",8412,9578,-2497,-383,42.893099,30.74636331,55.03983511,76.5,0.457142857,24,-0.512738854,-80.5,33.5,0.168674699,0.701754386,1.0778,212500,-0.154228856,-0.423636595,0.5667
202104,28202,"charlotte, nc",7277,11891,-1534,-6115,30.512505,46.71211701,14.31289389,48,-0.010309278,-0.5,-0.04950495,-2.5,5,-0.097560976,-0.051282051,0.4111,409950,0.025003125,0.171453065,1.0932
202104,28207,"charlotte, nc",9623,12107,368,-7948,29.14305,26.10487931,32.18122002,90.5,-0.309160305,-40.5,0.436507937,27.5,47.5,0.192307692,-0.060606061,0.6889,1299250,1.92E-04,-0.053369763,3.4647
202103,28212,"charlotte, nc",1702,239,-92,24,93.259413,89.24696873,97.27185705,12.5,0.041666667,0.5,-0.561403509,-16,-41.5,-0.253926702,0.93877551,3.7013,230500,-0.077077077,0.060379528,0.6231
202103,28213,"charlotte, nc",1585,561,-200,-384,89.4444,90.2121889,88.67661136,11.5,-0.258064516,-4,-0.557692308,-14.5,-42.5,-0.373626374,0.089171975,2.2208,267670,0.516973647,0.347947385,0.7235
202103,28269,"charlotte, nc",45,641,-99,478,88.612795,87.36040204,89.86518826,14.5,-0.340909091,-7.5,-0.608108108,-22.5,-39.5,-0.36971831,1.057471264,2.3247,295750,0.023356401,0.046904508,0.7994
202103,28262,"charlotte, nc",1328,858,127,-798,86.796027,80.7634014,92.82865348,21.5,-0.232142857,-6.5,0.162162162,3,-32.5,-0.184,0.096774194,2.6494,363500,0.038423082,0.378486509,0.9826
202103,28273,"charlotte, nc",1971,964,-626,-883,86.032227,87.97862157,84.0858328,14,0.75,6,-0.243243243,-4.5,-40,-0.340807175,0.057553957,1.9091,310000,-0.057507259,0.087719298,0.838
202103,28214,"charlotte, nc",2030,1332,-264,-641,83.42374,71.29467135,95.55280791,31.5,-0.030769231,-1,-0.045454545,-1.5,-22.5,-0.175862069,1.489583333,3.1039,317500,0.007936508,0.139054316,0.8582
202103,28216,"charlotte, nc",589,1345,-993,-607,83.31605,80.7634014,85.86869815,21.5,0.162162162,3,-0.410958904,-15,-32.5,-0.515625,0.371681416,2.013,266250,0.048434731,0.075757576,0.7197
202103,28270,"charlotte, nc",2561,1484,509,-801,82.370772,81.77648373,82.96506063,20.5,-0.506024096,-21,-0.305084746,-9,-33.5,-0.344036697,0.702380952,1.8571,720000,0.078651685,0.359773371,1.9462
202103,28227,"charlotte, nc",482,1718,36,-226,80.67366,73.77552648,87.57179324,29,-0.016949153,-0.5,-0.317647059,-13.5,-25,-0.057471264,0.842696629,2.1299,398000,0.134226275,0.075675676,1.0758
202103,28215,"charlotte, nc",492,1924,-777,137,79.505026,74.15842374,84.85162731,28.5,0.461538462,9,-0.387096774,-18,-25.5,-0.157303371,0.898734177,1.9481,353052.5,0.207017094,0.380513412,0.9543
202103,28210,"charlotte, nc",464,2169,-572,252,77.969448,82.43458839,73.50430759,20,-0.069767442,-1.5,-0.523809524,-22,-34,-0.262820513,0.916666667,1.4935,439950,-0.011348315,-0.022333333,1.1892
202103,28277,"charlotte, nc",86,2256,-1412,-1293,77.516752,77.60051053,77.43299298,25,0.388888889,7,-0.180327869,-5.5,-29,-0.368686869,0.689189189,1.6234,502462.5,0.035572776,0.114231068,1.3582
202103,28217,"charlotte, nc",4081,4122,-3419,-3934,67.563417,82.75366943,52.37316528,19.5,0.625,7.5,-0.303571429,-8.5,-34.5,-0.585106383,-0.642201835,1.013,370670,0.013036349,0.547682672,1.0019
202103,28278,"charlotte, nc",5032,4389,-2365,-932,66.247208,57.35481812,75.13959796,47,0.02173913,1,-0.040816327,-2,-7,-0.504166667,1.163636364,1.5455,603975,0.132974293,0.512773951,1.6326
202103,28204,"charlotte, nc",10785,5171,2065,-2167,62.531908,79.44320357,45.62061264,23,-0.417721519,-16.5,-0.634920635,-40,-31,-0.041666667,-0.316831683,0.8961,547910,0.21986163,-0.11197731,1.481
202103,28211,"charlotte, nc",2613,5413,4753,-411,61.439056,68.94543714,53.9326739,34,-0.624309392,-56.5,-0.333333333,-17,-20,0.012658228,0.860465116,1.039,1149750,0.087346633,0.210263158,3.1079
202103,28226,"charlotte, nc",1124,5791,-346,-2406,59.739949,51.6472559,67.83264199,54,-0.28,-21,0.058823529,3,0,-0.294520548,0.745762712,1.3377,750000,-0.112163362,0.234567901,2.0273
202103,28208,"charlotte, nc",2204,5915,-420,-5292,59.245373,68.00015954,50.49058711,35,-0.102564103,-4,0.166666667,5,-19,-0.210526316,-0.166666667,0.974,398250,0.138101022,0.612348178,1.0765
202103,28203,"charlotte, nc",6166,6692,-3004,-2805,55.865108,68.36311423,43.36710274,34.5,0.277777778,7.5,-0.4,-23,-19.5,-0.371428571,0.081967213,0.8571,467200,0.074269947,-0.266562009,1.2629
202103,28206,"charlotte, nc",8412,7081,-3081,-1363,54.16999,52.64039566,55.69958519,52.5,0.666666667,21,-0.426229508,-39,-1.5,-0.231481481,0.23880597,1.0779,251250,-0.028985507,-0.249776053,0.6791
202103,28205,"charlotte, nc",630,7448,-1075,-2261,52.668315,63.52903638,41.80759413,39.5,0.025974026,1,-0.177083333,-8.5,-14.5,-0.219512195,0.641025641,0.8312,465000,0.019888931,0.064017226,1.2569
202103,28209,"charlotte, nc",3826,7775,-1272,-5795,51.292278,60.7929164,41.79164008,42.5,-0.212962963,-11.5,0.25,8.5,-11.5,-0.333333333,0.142857143,0.8312,727000,0.136115018,0.054387237,1.9651
