Year/Month,Year,Month,Zip Code,City,State,Median Listing Price,Average Listing Price,Active Listing Count,Median Days on Market,New Listing Count,Price Increased Count,Price Reduced Count,Pending Listing Count,Median Price per Square Foot (List Price),Median Square Feet,Total Listing Count,Pending Ratio
202104,2021,April,28213,charlotte, nc,"$280,117.50","$285,710.02",16,11.0,36,0,0,28,$138.05,"2,109.0",44,1.75
202104,2021,April,28262,charlotte, nc,"$370,700.00","$337,630.05",13,12.5,12,0,0,26,$162.75,"2,262.0",39,2.0
202104,2021,April,28207,charlotte, nc,"$1,299,250.00","$1,530,404.68",52,90.5,20,0,12,45,$447.01,"2,740.5",97,0.865384615
202104,2021,April,28202,charlotte, nc,"$409,950.00","$559,791.09",85,48.0,28,0,20,41,$343.04,"1,221.5",126,0.48235294100000004
202104,2021,April,28226,charlotte, nc,"$630,517.50","$949,039.63",52,38.5,48,4,16,78,$231.56,"2,870.0",130,1.5
202104,2021,April,28208,charlotte, nc,"$402,450.00","$399,790.59",38,34.0,28,0,16,116,$252.79,"1,630.0",154,3.052631579
202104,2021,April,28278,charlotte, nc,"$597,901.50","$933,585.46",45,28.0,36,4,12,50,$192.41,"3,292.5",95,1.111111111
202104,2021,April,28203,charlotte, nc,"$532,000.00","$741,035.47",51,40.0,24,0,24,60,$352.99,"1,468.5",111,1.176470588
202104,2021,April,28227,charlotte, nc,"$352,470.00","$385,260.01",31,26.0,56,4,0,44,$183.90,"1,875.0",75,1.4193548390000001
202104,2021,April,28277,charlotte, nc,"$496,147.00","$615,104.87",49,22.5,68,0,8,77,$195.01,"2,618.5",126,1.571428571
202104,2021,April,28211,charlotte, nc,"$1,024,500.00","$1,312,736.89",77,39.0,36,0,32,81,$323.50,"3,251.0",158,1.051948052
202104,2021,April,28217,charlotte, nc,"$360,117.50","$354,780.48",13,37.0,20,4,0,15,$183.46,"1,772.5",28,1.153846154
202104,2021,April,28269,charlotte, nc,"$305,000.00","$308,460.93",28,13.0,56,4,0,54,$144.07,"2,106.5",82,1.928571429
202104,2021,April,28215,charlotte, nc,"$330,450.00","$329,077.10",22,12.5,40,4,8,230,$172.69,"1,754.0",252,10.45454545
202104,2021,April,28270,charlotte, nc,"$734,950.00","$792,334.23",26,11.5,36,0,4,36,$199.21,"3,166.5",62,1.384615385
202104,2021,April,28205,charlotte, nc,"$463,140.00","$504,962.61",64,39.0,60,8,12,107,$274.19,"1,768.5",171,1.671875
202104,2021,April,28204,charlotte, nc,"$630,311.50","$627,277.98",24,30.0,24,0,4,37,$289.59,"2,023.0",61,1.5416666669999999
202104,2021,April,28216,charlotte, nc,"$284,950.00","$365,958.01",23,19.5,40,0,4,67,$173.36,"1,596.0",90,2.913043478
202104,2021,April,28209,charlotte, nc,"$734,000.00","$842,187.20",49,25.0,36,0,20,64,$300.16,"2,604.0",113,1.306122449
